source_id,intermediate_id,motor_id,source_to_intermediate_weight,intermediate_to_motor_weight,intermediate_activity,delta_hz,motif_type,intermediate_nt
720575940630233916,720575940631092943,720575940636165624,1.0,-18.0,2.0,36.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940638202345,720575940631092943,720575940636165624,1.0,-18.0,2.0,36.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940630797113,720575940620359956,720575940628998659,1.0,-33.0,1.0,33.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621538142,720575940628997123,1.0,-33.0,1.0,33.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940632030008,720575940633185567,1.0,-32.0,1.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940633277209,720575940623352063,5.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940633277209,720575940623352063,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940633277209,720575940623352063,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940633277209,720575940623352063,6.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940633277209,720575940623352063,6.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940633277209,720575940623352063,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940633277209,720575940623352063,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940633277209,720575940623352063,6.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940633277209,720575940623352063,1.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940633277209,720575940629936348,5.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940633277209,720575940629936348,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940633277209,720575940629936348,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940633277209,720575940629936348,6.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940633277209,720575940629936348,6.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940633277209,720575940629936348,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940633277209,720575940629936348,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940633277209,720575940629936348,6.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940633277209,720575940629936348,1.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940633277209,720575940632281927,5.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940633277209,720575940632281927,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940633277209,720575940632281927,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940633277209,720575940632281927,6.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940633277209,720575940632281927,6.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940633277209,720575940632281927,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940633277209,720575940632281927,2.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940633277209,720575940632281927,6.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940633277209,720575940632281927,1.0,-1.0,32.0,32.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940632030008,720575940621586854,1.0,-29.0,1.0,29.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940616864217,720575940660219265,1.0,-7.0,4.0,28.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940660219265,3.0,-7.0,4.0,28.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940622235425,720575940610679876,1.0,-14.0,2.0,28.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940622235425,720575940610679876,1.0,-14.0,2.0,28.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621538142,720575940612888178,1.0,-25.0,1.0,25.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621538142,720575940627410451,1.0,-25.0,1.0,25.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940616864217,720575940629936348,1.0,-6.0,4.0,24.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940629936348,3.0,-6.0,4.0,24.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940630664556,720575940624554170,4.0,-1.0,24.0,24.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940630664556,720575940624554170,5.0,-1.0,24.0,24.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940630664556,720575940624554170,8.0,-1.0,24.0,24.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940630664556,720575940624554170,2.0,-1.0,24.0,24.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940630664556,720575940624554170,5.0,-1.0,24.0,24.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940625047484,720575940629810748,1.0,-2.0,11.0,22.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940625047484,720575940629810748,5.0,-2.0,11.0,22.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940625047484,720575940629810748,2.0,-2.0,11.0,22.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940625047484,720575940629810748,2.0,-2.0,11.0,22.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940625047484,720575940629810748,1.0,-2.0,11.0,22.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940616864217,720575940630233404,1.0,-5.0,4.0,20.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940630233404,3.0,-5.0,4.0,20.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621538142,720575940645528430,1.0,-20.0,1.0,20.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940616864217,720575940621586854,1.0,-4.0,4.0,16.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940621586854,3.0,-4.0,4.0,16.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940621771041,720575940628826128,1.0,-8.0,2.0,16.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621771041,720575940628826128,1.0,-8.0,2.0,16.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940625861660,720575940610679876,1.0,-14.0,1.0,14.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940629470838,720575940640681680,1.0,-7.0,2.0,14.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940630797113,720575940629470838,720575940640681680,1.0,-7.0,2.0,14.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940630233916,720575940631092943,720575940621586854,1.0,-7.0,2.0,14.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940638202345,720575940631092943,720575940621586854,1.0,-7.0,2.0,14.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940617000768,720575940616864217,720575940633185567,1.0,-3.0,4.0,12.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940633185567,3.0,-3.0,4.0,12.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940629470838,720575940620008112,1.0,-6.0,2.0,12.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940630797113,720575940629470838,720575940620008112,1.0,-6.0,2.0,12.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940630797113,720575940630159616,720575940624967612,1.0,-2.0,6.0,12.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940630159616,720575940624967612,2.0,-2.0,6.0,12.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940630159616,720575940624967612,2.0,-2.0,6.0,12.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940630159616,720575940624967612,1.0,-2.0,6.0,12.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621538142,720575940623993015,1.0,-11.0,1.0,11.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621538142,720575940628998659,1.0,-11.0,1.0,11.0,sensory_excites_inhibitor_inhibits_motor,gaba
